FeatureID,FeatureName,oligodendrocyte Average,oligodendrocyte Log2 Fold Change,oligodendrocyte P-Value,OPC Average,OPC Log2 Fold Change,OPC P-Value,microglia Average,microglia Log2 Fold Change,microglia P-Value,astrocyte Average,astrocyte Log2 Fold Change,astrocyte P-Value,pericyte Average,pericyte Log2 Fold Change,pericyte P-Value,endothelial stalk Average,endothelial stalk Log2 Fold Change,endothelial stalk P-Value,ependymal Average,ependymal Log2 Fold Change,ependymal P-Value,inhibitory Average,inhibitory Log2 Fold Change,inhibitory P-Value,excitatory Average,excitatory Log2 Fold Change,excitatory P-Value,exclude_debris Average,exclude_debris Log2 Fold Change,exclude_debris P-Value
ENSMUSG00000110080,Gm6145,0.07293257975240859,-1.7268351394434647,1.7759440674081112e-05,0.1481125446652065,-0.6361060298708239,1,0.3140059382395172,0.45798338195487687,1,4.134054915537086,6.7055067768989876,2.42387472093344e-261,0.0335478403819752,-2.5306258300473146,1,0.1496864359161889,-0.6063768346952001,1,0.11767391298145104,-0.9369537982038376,1,0.012202033147525305,-4.291918172175624,2.2051504597002913e-16,0.03403991249769007,-4.902101787397344,2.46391656473505e-209,0.2162456379912002,-0.06967889809218741,0.9960904898224664
ENSMUSG00000038094,Atp13a4,0.011789101932581116,-3.1885274991459402,1.2785846376944963e-12,0.19411719869000552,0.9403048577824205,0.4280784591872826,0.08820391523581944,-0.16929029854114352,1,1.8250311953323481,6.629565341543863,4.652843788101728e-250,0.0335478403819752,-1.3631949014689022,1,0.07733799189003093,-0.3693971043642441,1,0.21112084387848568,1.0635478696490326,0.6100737446373541,0.0071776665573678265,-3.869876219834762,3.4967903710124405e-13,0.01511767654993424,-4.905841682954194,4.6708149881815393e-206,0.10582233348505542,0.09761998398437344,0.9960904898224664
ENSMUSG00000031209,Heph,0.014586515950481719,-2.263117889249372,1.7089343287066112e-07,0.021319229913931242,-1.5953626042933573,0.7562261050684059,0.06350681896979,-0.008503250055928557,1,1.1933117359086471,6.628935145552226,3.267981942397861e-230,0.12748179345150576,0.9911332548598306,1,0.08482231368584038,0.3766833496736113,1,0.11421291554082012,0.8076374928155521,0.7772321434490672,0.004545855486332957,-3.8895011938370043,2.1721748691634354e-12,0.010508628821295753,-4.804796245369846,6.980817555103656e-179,0.06441359429525112,0.032069424573166305,0.9960904898224664
ENSMUSG00000019232,Etnppl,0.03077155419690664,-1.9514209507075755,2.580173562697523e-06,0.03927226563092597,-1.5071064803264096,0.790831993902177,0.15523889081504222,0.47750823773710493,1,1.9661477806722194,6.410234007057755,1.162561344753267e-230,0.0335478403819752,-1.5106866493681457,1,0.10478050514133223,-0.08922321620857288,1,0.1349789001846056,0.27899180889442965,0.9756539341763004,0.008613199868841391,-3.7615459422292474,7.899390974170825e-13,0.02100049746903282,-4.529701053391875,2.7266519296983543e-177,0.15643301471703844,0.4959951825324862,0.9960904898224664
ENSMUSG00000036949,Slc39a12,0.03916379625060845,-2.7170218904259693,1.0331642263688844e-10,0.07293420760029108,-1.734163784229163,0.6454727734970113,0.4939419253205889,1.0281229775647696,0.7718383845627833,4.215965764461451,6.408912874480501,8.60656272768448e-235,0.026838272305580158,-2.8749798778109685,1,0.17463417523555372,-0.46806511212532165,1,1.107519181001892,2.2017192873776414,0.045437365182841666,0.02105448856827896,-3.595131674886874,6.050368344895267e-13,0.04357645125258207,-4.585988473589773,5.79221565766681e-185,0.1932407828857534,-0.3102078237087471,0.9960904898224664
ENSMUSG00000030495,Slc7a10,0.06773738229059319,-1.3803070376571815,0.0006809113318482164,0.2479763058409897,0.5619202334425628,0.8067167030178279,0.23285833622256333,0.4768450586609996,1,2.922636570918842,6.394469320842011,3.1406525386496344e-232,0.04025740845837024,-1.8634112736055415,1,0.11475960086907816,-0.5377498307828308,1,0.5468375956196843,1.7064980632305597,0.20778361411324733,0.017465655289595046,-3.3342748736388117,2.406701156826804e-11,0.025508984156319196,-4.86969311798452,9.2871455743623e-206,0.17023592778030655,0.03812469675034835,0.9960904898224664
ENSMUSG00000054252,Fgfr3,0.03376878350180015,-1.5663682135128543,0.00014631488050041673,0.21319229913931242,1.1769847274757406,0.21707326854530767,0.11642916811128166,0.3160542786273228,1,1.6537369288098158,6.380246323662258,1.2527122385383322e-228,0.0335478403819752,-1.2667521112333708,1,0.17962372309942667,0.9255254696722268,1,0.06575895137198734,-0.48004668200209233,1,0.009091710972665914,-3.4402821786665014,3.083817302474335e-11,0.014514310301821567,-4.863062137934753,2.766614699093189e-190,0.0828174783796086,-0.14374676784739115,0.9960904898224664
ENSMUSG00000035104,Eva1a,0.02237931214320483,-1.5070637045655704,0.00037069004068450445,0.05161497768635985,-0.222854571328571,1,0.2998933118017861,2.3224474500755665,0.05247827886638455,1.0533447765185915,6.3624167186937575,2.78537018855957e-223,0.013419136152790079,-1.6199334428887155,1,0.067358896162285,0.18421952621237425,1,0.1868938617940693,1.6398789329014947,0.26798445349967276,0.004785111038245218,-3.687523104410396,1.806256305656699e-11,0.009100774242366178,-4.891860307520828,6.995356030993544e-183,0.09201942042178732,0.6505298757337763,0.9960904898224664
ENSMUSG00000031980,Agt,0.148262942948732,-0.7049737314076183,0.11829441459068858,0.10435202010503186,-1.1712127752642751,0.9647009626677626,0.44454773278853,0.9267584374328686,0.8202813987695265,4.018517507580613,6.313766552789616,2.4129329421045072e-225,0.06038611268755536,-1.8242943223823231,1,0.22951920173815632,-0.026377610232910964,1,0.12459590786271287,-0.8876332956357622,1,0.03229949950815522,-2.9290065755478456,1.5320468057259404e-09,0.03863220005276987,-4.728995404317833,7.742200830310835e-195,0.23464952207555767,0.015090012039585154,0.9960904898224664
ENSMUSG00000028128,F3,0.05514901921004047,-2.1951198994563357,7.927038908509753e-08,0.7753467300277099,1.7311183253075035,0.011334104933302842,0.3457593477244122,0.5381252596293187,0.9769857295838392,4.07341214668431,6.278534635165112,1.3595811490734714e-223,0.5568941503407883,1.2252179281559088,0.9941530586921785,0.18960281882717261,-0.32702770681465143,1,0.17997186691280748,-0.39477057754481004,1,0.02966768843712035,-3.0786263155200952,2.4439283616781187e-10,0.03824671606092011,-4.776434914075891,1.2847838857589558e-199,0.21164466697011083,-0.15808466850712133,0.9960904898224664
