FeatureID,FeatureName,ne Average,ne Log2 Fold Change,ne P-Value,no Average,no Log2 Fold Change,no P-Value
ENSMUSG00000078591,Hs3st4,1.3712710046463217,3.5193783120391813,1.674085160570488e-20,0.11945576936743922,-3.5193783120391813,1.674085160570488e-20
ENSMUSG00000038048,Cntnap5c,1.9093460418998536,3.005036056974154,2.9768328411485974e-17,0.23772144389684668,-3.005036056974154,2.976832841147921e-17
ENSMUSG00000036617,Etl4,3.779644503426072,2.9001411135492354,2.6072575831397436e-16,0.5062365917277655,-2.9001411135492354,2.607257583139818e-16
ENSMUSG00000055409,Nell1,4.947505217460411,2.8855758699762397,2.6413716365059436e-16,0.6694283463928724,-2.8855758699762397,2.6413716365059436e-16
ENSMUSG00000029088,Kcnip4,101.26833345374176,2.7930634155693723,1.5158016935720395e-15,14.61272823062788,-2.7930634155693723,1.5158016935720395e-15
ENSMUSG00000019828,Grm1,4.060297048939197,2.787393601017126,1.8771111945549697e-15,0.5880556118424499,-2.787393601017126,1.8771111945549697e-15
ENSMUSG00000040452,Cdh12,2.3533378106359732,2.7803192071255554,2.2164832873653563e-15,0.3424497896436427,-2.7803192071255554,2.2164832873653563e-15
ENSMUSG00000008658,Rbfox1,44.46275712759602,2.767755589530455,2.47390931895306e-15,6.529306567006569,-2.767755589530455,2.47390931895306e-15
ENSMUSG00000070695,Cntnap5a,1.8372057146964578,2.7634954946698342,3.4302360221671834e-15,0.27044905194272045,-2.7634954946698342,3.4302360221671834e-15
ENSMUSG00000053465,Hs6st3,5.166066217375429,2.7405070913832343,4.558059766699643e-15,0.7729665973016366,-2.7405070913832343,4.5580597666986074e-15
ENSMUSG00000035681,Kcnc2,8.838399657979597,2.7258666620951106,5.815488571465184e-15,1.3360302175454193,-2.7258666620951106,5.815488571465184e-15
ENSMUSG00000045648,Vwc2l,1.1165933189925448,2.719205724905467,7.60327951952705e-15,0.1694397525647737,-2.719205724905467,7.60327951952705e-15
ENSMUSG00000045083,Lingo2,12.194041404226981,2.7056535784315345,7.932037287937236e-15,1.8693414668384076,-2.7056535784315345,7.932037287937236e-15
ENSMUSG00000028033,Kcnq5,2.3811890633568025,2.6898855175718466,1.324311354080867e-14,0.3689293997898497,-2.6898855175718466,1.324311354080867e-14
ENSMUSG00000068151,A230006K03Rik,3.58361572522785,2.685572152363143,1.1793187265663961e-14,0.5569643841988698,-2.685572152363143,1.1793187265668988e-14
ENSMUSG00000108532,Gm32647,4.067895664659246,2.682211809020202,1.526030211125538e-14,0.6337255012519192,-2.682211809020202,1.526030211125538e-14
ENSMUSG00000101621,Gm28905,1.1312943143039849,2.6773610503770957,1.645475554635887e-14,0.1767290834477183,-2.6773610503770957,1.645475554636308e-14
ENSMUSG00000036264,Fstl4,1.4905382566930365,2.668696563347187,2.0819443420103435e-14,0.23429992123750532,-2.668696563347187,2.081944342010284e-14
ENSMUSG00000059003,Grin2a,3.669557619759497,2.6505657637512474,2.366650453708737e-14,0.5843365654736006,-2.6505657637512474,2.3666504537093426e-14
ENSMUSG00000039488,Cntn5,4.831323933838777,2.6385950319795968,3.33107865620537e-14,0.7757930725419621,-2.6385950319795968,3.33107865620537e-14
ENSMUSG00000063626,Unc5d,1.0942316784449744,2.6244603146966967,5.982608421573457e-14,0.17732413086673418,-2.6244603146966967,5.982608421573457e-14
ENSMUSG00000052479,A330008L17Rik,1.5520870440254266,2.6186537147806703,5.378214514614814e-14,0.25259762937224384,-2.6186537147806703,5.3782145146159225e-14
