FeatureID,FeatureName,neu Average,neu Log2 Fold Change,neu P-Value,other Average,other Log2 Fold Change,other P-Value
ENSMUSG00000037541,Shank2,1.2288008169638658,4.465518441038781,8.154926355246297e-33,0.05557584351188215,-4.465518441038781,8.15492635524259e-33
ENSMUSG00000028519,Dab1,3.510129382654638,4.015179363307336,9.651109924224968e-29,0.21704993610361933,-4.015179363307336,9.651109924224968e-29
ENSMUSG00000019828,Grm1,3.5337624612237053,3.925753329140308,6.9632521354833955e-28,0.23248767041247548,-3.925753329140308,6.963252135483595e-28
ENSMUSG00000021268,Meg3,12.134616787616563,3.8759571098347885,2.1629041354345637e-27,0.8264948203860748,-3.8759571098347885,2.1629041354345637e-27
ENSMUSG00000021730,Hcn1,1.5037925283076496,3.8135507721912463,1.4157521034895408e-26,0.10691207043745156,-3.8135507721912463,1.415752103489299e-26
ENSMUSG00000061578,Ksr2,1.2119660501709113,3.769937368796671,2.7370138108698404e-26,0.08880153436765911,-3.769937368796671,2.73701381086844e-26
ENSMUSG00000040420,Cdh18,4.776976891839208,3.6487709147620437,4.0569945769819833e-25,0.3808281681444395,-3.6487709147620437,4.0569945769819833e-25
ENSMUSG00000049176,Frmpd4,3.0052593183761025,3.642299678254051,9.052754759660546e-25,0.24064432406222933,-3.642299678254051,9.052754759660288e-25
ENSMUSG00000044349,Snhg11,17.39761930056543,3.586801419658011,1.679525685515871e-24,1.4479673125927437,-3.586801419658011,1.679525685515823e-24
ENSMUSG00000036617,Etl4,1.7399026670371713,3.6157672308161635,2.656272107412762e-24,0.1418889072745316,-3.6157672308161635,2.656272107412234e-24
ENSMUSG00000041216,Clvs1,1.1464875735904514,3.534592066364078,5.641006443458599e-24,0.0988936651546427,-3.534592066364078,5.641006443458599e-24
ENSMUSG00000036815,Dpp10,2.1324276474997426,3.5332692893860087,6.4161099538426686e-24,0.18414682477071398,-3.5332692893860087,6.416109953844309e-24
ENSMUSG00000001986,Gria3,1.7201219651412347,3.5609083438574234,6.992494713343025e-24,0.1457137787600094,-3.5609083438574234,6.992494713343025e-24
ENSMUSG00000063142,Kcnma1,3.104586231483948,3.515822176323627,1.627209018292949e-23,0.27138154431299666,-3.515822176323627,1.627209018292949e-23
ENSMUSG00000029651,Mtus2,1.4279674982784558,3.4442127099867395,4.247963721173047e-23,0.13115161744180479,-3.4442127099867395,4.247963721174255e-23
ENSMUSG00000027016,Zfp385b,3.5016553466600264,3.4327650715732823,5.2604171016876753e-23,0.32423850327496084,-3.4327650715732823,5.260417101687825e-23
ENSMUSG00000039419,Cntnap2,7.498490181601935,3.421047415903136,6.763789000324804e-23,0.7000436474203994,-3.421047415903136,6.763789000328072e-23
ENSMUSG00000053465,Hs6st3,1.1693931135308473,3.404825484881134,1.1148385446951925e-22,0.11036827961107606,-3.404825484881134,1.1148385446951925e-22
ENSMUSG00000063919,Srrm4,1.1626305823430294,3.3886518051565364,1.4930885352275546e-22,0.11096735586783765,-3.3886518051565364,1.4930885352275971e-22
ENSMUSG00000097545,Mir124a-1hg,1.9119297721297512,3.3812268462015314,1.690497101456257e-22,0.18345558293598907,-3.3812268462015314,1.6904971014565936e-22
ENSMUSG00000097451,Rian,1.371356644163856,3.3692273141222815,2.2752987002239494e-22,0.13267234947819959,-3.3692273141222815,2.2752987002244666e-22
ENSMUSG00000031772,Cntnap4,1.4976203768267047,3.360614149907891,2.766451681272915e-22,0.14575986154899107,-3.360614149907891,2.766451681272915e-22
ENSMUSG00000059003,Grin2a,2.0509433210885035,3.3424143271670888,4.0237470219981004e-22,0.2021651952625431,-3.3424143271670888,4.0237470219981004e-22
ENSMUSG00000068373,D430041D05Rik,1.131262933270787,3.342024847156364,4.319552068572029e-22,0.11152034933561757,-3.342024847156364,4.319552068572029e-22
ENSMUSG00000007653,Gabrb2,2.0216747998629208,3.3385437963123827,4.3528749407548905e-22,0.19981497302447843,-3.3385437963123827,4.352874940755757e-22
ENSMUSG00000055214,Pld5,1.9043562142739057,3.329855522537294,5.306307100663136e-22,0.18935417992564157,-3.329855522537294,5.306307100663136e-22
ENSMUSG00000022861,Dgkg,1.509785776847118,3.3041565820386993,9.656007437304779e-22,0.15281052826318506,-3.3041565820386993,9.656007437307248e-22
ENSMUSG00000021313,Ryr2,2.7049528408133705,3.300464534131073,1.0007979153831633e-21,0.2745151739637495,-3.300464534131073,1.0007979153831633e-21
ENSMUSG00000027965,Olfm3,4.643568968380058,3.295963124894528,1.1040641185884874e-21,0.4727633321628515,-3.295963124894528,1.1040641185884874e-21
ENSMUSG00000032452,Clstn2,1.2430653448309386,3.2779913490086585,1.948093793154525e-21,0.12811015336901524,-3.2779913490086585,1.9480937931528637e-21
ENSMUSG00000036800,Fam135b,1.790049161533081,3.2621244084631686,2.379842555168831e-21,0.1865431297977603,-3.2621244084631686,2.379842555168831e-21
ENSMUSG00000061576,Dpp6,10.563431521254653,3.2602464941007008,2.391014986942834e-21,1.1024846435972375,-3.2602464941007008,2.3910149869434452e-21
ENSMUSG00000026527,Rgs7,2.223071804514587,3.258820719371145,2.561523754389893e-21,0.23221117367858551,-3.258820719371145,2.561523754390985e-21
ENSMUSG00000060371,Caln1,3.803846268539646,3.2373696678620947,3.995718586634421e-21,0.40331656916748965,-3.2373696678620947,3.995718586634421e-21
ENSMUSG00000058589,Anks1b,12.1757286835679,3.235848394476689,4.211318417331505e-21,1.2924378997796406,-3.235848394476689,4.211318417331505e-21
ENSMUSG00000050663,Trhde,2.2055512431126387,3.224685405865288,5.4535945511051534e-21,0.23589779679711834,-3.224685405865288,5.4535945511051534e-21
ENSMUSG00000042453,Reln,1.9911301043214715,3.2222656553566047,5.658719171364277e-21,0.21331723019610485,-3.2222656553566047,5.658719171364277e-21
ENSMUSG00000025551,Fgf14,23.949277591264874,3.2078154372407193,7.474662199005493e-21,2.592110797429402,-3.2078154372407193,7.474662199005493e-21
ENSMUSG00000064329,Scn1a,1.6392697624565464,3.2052654252674717,8.332616663273612e-21,0.17769523431328155,-3.2052654252674717,8.332616663273612e-21
ENSMUSG00000100826,Snhg14,2.7759832720109894,3.202074406486971,8.68059927030853e-21,0.3016118538849657,-3.202074406486971,8.680599270308776e-21
ENSMUSG00000038128,Camk4,3.7432578056928816,3.1984683170814536,9.405345278372515e-21,0.407740516909729,-3.1984683170814536,9.405345278376525e-21
